id,category,sub_category,order_date,sales
ON-18715,Office Supplies,Binders,2016-03-11,17.46
PO-18865,Office Supplies,Storage,2014-10-20,211.96
LH-16900,Technology,Accessories,2016-06-20,45
LH-16900,Technology,Phones,2016-06-20,21.8
DP-13000,Office Supplies,Binders,2015-04-18,38.22
DP-13000,Office Supplies,Labels,2015-04-18,75.18
DP-13000,Furniture,Furnishings,2015-04-18,6.16
DP-13000,Furniture,Chairs,2015-04-18,89.99
JM-15265,Office Supplies,Fasteners,2016-12-11,15.26
JM-15265,Technology,Phones,2016-12-11,1029.95
TB-21055,Office Supplies,Storage,2016-06-17,208.56
TB-21055,Office Supplies,Paper,2016-06-17,32.4
TB-21055,Furniture,Chairs,2016-06-17,319.41
TB-21055,Office Supplies,Paper,2016-06-17,14.56
TB-21055,Technology,Accessories,2016-06-17,30
TB-21055,Office Supplies,Binders,2016-06-17,48.48
TB-21055,Office Supplies,Art,2016-06-17,1.68
KM-16720,Technology,Accessories,2015-11-24,13.98
KM-16720,Office Supplies,Binders,2015-11-24,25.824
KM-16720,Office Supplies,Paper,2015-11-24,146.73
KM-16720,Furniture,Furnishings,2015-11-24,79.76
PS-18970,Furniture,Chairs,2015-04-30,213.115
BS-11590,Office Supplies,Art,2014-12-05,1113.024
BS-11590,Technology,Phones,2014-12-05,167.968
KD-16270,Office Supplies,Paper,2016-06-04,75.88
HM-14980,Office Supplies,Binders,2016-09-18,4.616
TB-21520,Office Supplies,Paper,2017-09-14,19.05
JE-15745,Furniture,Chairs,2015-04-26,831.936
JE-15745,Furniture,Furnishings,2015-04-26,97.04
JE-15745,Office Supplies,Storage,2015-04-26,72.784
KB-16600,Office Supplies,Binders,2017-12-09,1.248
KB-16600,Furniture,Furnishings,2017-12-09,9.708
KB-16600,Office Supplies,Storage,2017-12-09,27.24
JE-15745,Furniture,Furnishings,2014-11-26,19.3
SC-20770,Office Supplies,Appliances,2016-06-12,208.16
SC-20770,Office Supplies,Binders,2016-06-12,16.74
DN-13690,Office Supplies,Art,2014-10-12,14.9
DN-13690,Office Supplies,Storage,2014-10-12,21.39
JC-16105,Office Supplies,Envelopes,2015-09-03,200.984
CS-12400,Office Supplies,Storage,2017-11-13,230.376
PO-18865,Furniture,Chairs,2017-05-28,301.96
PG-18895,Technology,Accessories,2017-10-26,19.99
PG-18895,Office Supplies,Labels,2017-10-26,6.16
GM-14455,Office Supplies,Storage,2016-04-05,158.368
JS-15685,Office Supplies,Art,2016-09-17,20.1
JS-15685,Technology,Phones,2016-09-17,73.584
JS-15685,Office Supplies,Paper,2016-09-17,6.48
KB-16315,Office Supplies,Paper,2015-01-31,12.96
KB-16315,Furniture,Furnishings,2015-01-31,53.34
KB-16315,Office Supplies,Binders,2015-01-31,32.96
RB-19705,Office Supplies,Binders,2017-11-06,5.682
PN-18775,Furniture,Furnishings,2017-11-09,96.53
KD-16345,Office Supplies,Binders,2017-06-17,51.312
ER-13855,Office Supplies,Appliances,2016-09-06,77.88
RB-19465,Office Supplies,Paper,2016-08-29,64.624
RB-19465,Technology,Accessories,2016-08-29,95.976
RB-19465,Office Supplies,Binders,2016-08-29,1.788
GZ-14470,Office Supplies,Paper,2016-12-01,23.92
LC-16870,Technology,Accessories,2015-11-13,238.896
LC-16870,Furniture,Furnishings,2015-11-13,102.36
LC-16870,Office Supplies,Binders,2015-11-13,36.882
JM-15250,Technology,Accessories,2017-11-23,74.112
JM-15250,Technology,Phones,2017-11-23,27.992
JM-15250,Office Supplies,Art,2017-11-23,3.304
PA-19060,Technology,Accessories,2015-10-15,339.96
CV-12805,Furniture,Furnishings,2017-12-25,41.96
CL-12565,Office Supplies,Art,2016-11-03,75.96
CL-12565,Office Supplies,Binders,2016-11-03,27.24
RC-19960,Office Supplies,Fasteners,2014-08-25,40.096
RC-19960,Office Supplies,Envelopes,2014-08-25,4.72
RC-19960,Office Supplies,Paper,2014-08-25,23.976
RC-19960,Office Supplies,Envelopes,2014-08-25,130.464
DK-13090,Furniture,Tables,2015-03-02,787.53
GG-14650,Office Supplies,Binders,2015-04-05,157.794
SC-20725,Furniture,Furnishings,2016-06-12,47.04
SC-20725,Office Supplies,Binders,2016-06-12,30.84
SC-20725,Office Supplies,Storage,2016-06-12,226.56
SC-20725,Office Supplies,Envelopes,2016-06-12,115.02
SC-20725,Technology,Phones,2016-06-12,68.04
AD-10180,Furniture,Chairs,2014-12-26,600.558
PF-19165,Furniture,Tables,2014-09-20,617.7
TS-21610,Office Supplies,Binders,2017-11-05,2.388
TS-21610,Office Supplies,Storage,2017-11-05,243.992
LS-16975,Furniture,Chairs,2016-11-06,81.424
LS-16975,Furniture,Furnishings,2016-11-06,238.56
DW-13585,Technology,Phones,2017-02-02,59.97
DW-13585,Office Supplies,Paper,2017-02-02,78.304
DW-13585,Office Supplies,Fasteners,2017-02-02,21.456
LC-16885,Office Supplies,Paper,2016-10-13,20.04
LC-16885,Office Supplies,Paper,2016-10-13,35.44
LC-16885,Office Supplies,Art,2016-10-13,11.52
LC-16885,Office Supplies,Fasteners,2016-10-13,4.02
LC-16885,Office Supplies,Binders,2016-10-13,76.176
LC-16885,Office Supplies,Supplies,2016-10-13,65.88
LC-16885,Furniture,Furnishings,2016-10-13,43.12
JD-15895,Furniture,Furnishings,2016-09-05,82.8
SH-19975,Office Supplies,Art,2017-09-18,8.82
SH-19975,Office Supplies,Envelopes,2017-09-18,10.86
SH-19975,Office Supplies,Paper,2017-09-18,143.7
SG-20080,Office Supplies,Appliances,2017-12-22,839.43
HA-14920,Office Supplies,Storage,2015-09-07,671.93
MG-17680,Furniture,Furnishings,2014-10-22,93.888
JE-16165,Technology,Phones,2016-12-05,384.45
JE-16165,Technology,Phones,2016-12-05,149.97
JE-16165,Furniture,Chairs,2016-12-05,1951.84
JE-16165,Office Supplies,Binders,2016-12-05,171.55
TW-21025,Office Supplies,Appliances,2016-03-13,157.92
TW-21025,Technology,Phones,2016-03-13,203.184
SP-20650,Office Supplies,Paper,2015-05-31,58.38
SP-20650,Office Supplies,Paper,2015-05-31,105.52
SP-20650,Office Supplies,Storage,2015-05-31,80.88
NK-18490,Office Supplies,Art,2015-05-28,6.63
DB-13060,Furniture,Chairs,2014-03-01,457.568
NP-18670,Office Supplies,Labels,2016-11-20,14.62
NP-18670,Technology,Phones,2016-11-20,944.93
TT-21070,Office Supplies,Paper,2016-05-11,5.98
EM-13960,Technology,Accessories,2015-12-28,54.384
RD-19900,Office Supplies,Envelopes,2016-11-16,28.4
MJ-17740,Office Supplies,Binders,2016-11-07,27.68
BM-11140,Office Supplies,Art,2014-09-08,9.936
BM-11140,Technology,Machines,2014-09-08,8159.952
BM-11140,Office Supplies,Storage,2014-09-08,275.928
BM-11140,Furniture,Chairs,2014-09-08,1740.06
BM-11140,Office Supplies,Art,2014-09-08,32.064
BM-11140,Office Supplies,Appliances,2014-09-08,177.98
BM-11140,Technology,Phones,2014-09-08,143.976
CS-12130,Office Supplies,Paper,2014-08-05,20.94
CS-12130,Office Supplies,Paper,2014-08-05,110.96
CS-12130,Furniture,Chairs,2014-08-05,340.144
JB-15400,Office Supplies,Appliances,2014-09-14,52.448
JB-15400,Office Supplies,Labels,2014-09-14,20.16
SJ-20500,Office Supplies,Appliances,2017-04-21,97.264
JE-15745,Furniture,Chairs,2015-11-21,396.802
JE-15745,Office Supplies,Supplies,2015-11-21,15.88
JK-15640,Office Supplies,Art,2015-12-15,3.28
DK-13150,Office Supplies,Storage,2014-12-05,24.816
DK-13150,Technology,Accessories,2014-12-05,408.744
RM-19675,Technology,Phones,2014-11-19,503.96
RM-19675,Technology,Phones,2014-11-19,149.95
RM-19675,Technology,Accessories,2014-11-19,29
SK-19990,Office Supplies,Binders,2016-11-28,7.16
FM-14290,Technology,Accessories,2014-08-26,176.8
AM-10360,Office Supplies,Storage,2016-07-16,37.224
AM-10360,Office Supplies,Paper,2016-07-16,20.016
MP-17470,Furniture,Bookcases,2015-10-12,899.136
MP-17470,Technology,Phones,2015-10-12,71.76
MP-17470,Office Supplies,Paper,2015-10-12,51.84
MP-17470,Furniture,Bookcases,2015-10-12,626.352
MP-17470,Office Supplies,Art,2015-10-12,19.9
MZ-17515,Office Supplies,Envelopes,2015-10-31,14.28
CB-12025,Office Supplies,Art,2014-03-21,7.408
CB-12025,Office Supplies,Art,2014-03-21,6.048
VM-21685,Office Supplies,Storage,2017-11-06,46.26
FH-14365,Office Supplies,Binders,2017-07-06,2.946
FH-14365,Office Supplies,Paper,2017-07-06,16.056
MB-17305,Office Supplies,Paper,2017-06-24,21.744
BS-11755,Furniture,Tables,2014-08-03,218.75
BS-11755,Office Supplies,Appliances,2014-08-03,2.6
LC-17140,Office Supplies,Appliances,2017-12-17,66.284
HK-14890,Furniture,Furnishings,2017-06-03,35.168
LE-16810,Technology,Phones,2017-12-09,444.768
JH-15985,Office Supplies,Storage,2017-12-01,83.92
JH-15985,Technology,Phones,2017-12-01,131.98
JH-15985,Office Supplies,Binders,2017-12-01,15.92
JH-15985,Office Supplies,Fasteners,2017-12-01,52.29
JH-15985,Office Supplies,Storage,2017-12-01,91.99
MS-17980,Technology,Accessories,2015-02-09,20.8
VW-21775,Office Supplies,Labels,2015-01-02,23.68
VW-21775,Furniture,Bookcases,2015-01-02,452.45
VW-21775,Technology,Phones,2015-01-02,62.982
VW-21775,Technology,Machines,2015-01-02,1188
VW-21775,Technology,Accessories,2015-01-02,89.584
JH-15910,Office Supplies,Storage,2016-10-28,93.06
JH-15910,Technology,Phones,2016-10-28,302.376
JB-15925,Office Supplies,Fasteners,2015-12-24,5.584
JB-15925,Office Supplies,Paper,2015-12-24,22.704
JB-15925,Office Supplies,Binders,2015-12-24,19.776
JB-15925,Furniture,Furnishings,2015-12-24,72.704
JB-15925,Technology,Machines,2015-12-24,479.988
JB-15925,Office Supplies,Art,2015-12-24,27.168
DS-13180,Office Supplies,Art,2015-08-09,2.2
DS-13180,Furniture,Tables,2015-08-09,622.45
DS-13180,Office Supplies,Storage,2015-08-09,21.98
VD-21670,Furniture,Chairs,2015-02-28,161.568
VD-21670,Furniture,Chairs,2015-02-28,389.696
EA-14035,Office Supplies,Binders,2014-09-13,18.648
CS-12400,Furniture,Tables,2017-04-07,233.86
CS-12400,Furniture,Tables,2017-04-07,620.6145
CS-12400,Office Supplies,Binders,2017-04-07,5.328
CS-12400,Furniture,Furnishings,2017-04-07,258.072
CS-12400,Technology,Accessories,2017-04-07,617.976
DB-13120,Office Supplies,Paper,2017-11-12,10.56
KL-16645,Office Supplies,Paper,2016-06-04,25.92
KL-16645,Furniture,Furnishings,2016-06-04,419.68
KL-16645,Furniture,Furnishings,2016-06-04,11.688
KL-16645,Technology,Phones,2016-06-04,31.984
KL-16645,Furniture,Tables,2016-06-04,177.225
KL-16645,Furniture,Furnishings,2016-06-04,4.044
KL-16645,Office Supplies,Art,2016-06-04,7.408
DW-13480,Furniture,Chairs,2014-06-01,2001.86
DW-13480,Office Supplies,Storage,2014-06-01,166.72
DW-13480,Office Supplies,Paper,2014-06-01,47.88
DW-13480,Office Supplies,Appliances,2014-06-01,1503.25
DW-13480,Office Supplies,Paper,2014-06-01,25.92
LH-17155,Furniture,Chairs,2016-12-10,321.568
KC-16540,Office Supplies,Paper,2016-09-11,7.61
KC-16540,Technology,Accessories,2016-09-11,3347.37
DL-13315,Office Supplies,Storage,2016-12-10,80.58
DL-13315,Office Supplies,Envelopes,2016-12-10,361.92
DR-12880,Furniture,Furnishings,2015-11-28,12.132
DR-12880,Office Supplies,Storage,2015-11-28,82.368
DR-12880,Office Supplies,Storage,2015-11-28,53.92
DR-12880,Technology,Phones,2015-11-28,647.904
CC-12670,Technology,Accessories,2017-12-01,20.37
CC-12670,Office Supplies,Storage,2017-12-01,221.55
CC-12670,Office Supplies,Binders,2017-12-01,17.52
Dl-13600,Office Supplies,Appliances,2017-06-08,1.624
SB-20290,Technology,Machines,2014-09-19,3059.982
SB-20290,Technology,Machines,2014-09-19,2519.958
RC-19825,Technology,Phones,2016-06-06,328.224
AH-10210,Technology,Accessories,2015-11-10,79.9
CB-12535,Office Supplies,Art,2017-06-16,14.016
PG-18895,Office Supplies,Fasteners,2016-01-22,7.56
CA-12310,Office Supplies,Storage,2017-12-09,37.208
CA-12310,Office Supplies,Envelopes,2017-12-09,57.576
KH-16690,Office Supplies,Storage,2017-12-28,725.84
HA-14920,Technology,Accessories,2015-07-30,209.93
HA-14920,Furniture,Furnishings,2015-07-30,5.28
HA-14920,Office Supplies,Binders,2015-07-30,10.92
BB-10990,Office Supplies,Paper,2017-09-16,8.82
BB-10990,Office Supplies,Art,2017-09-16,5.98
AG-10495,Office Supplies,Paper,2017-10-13,11.648
AG-10495,Office Supplies,Paper,2017-10-13,18.176
AG-10495,Office Supplies,Storage,2017-10-13,59.712
AG-10495,Office Supplies,Labels,2017-10-13,24.84
SC-20725,Office Supplies,Binders,2015-09-26,2.08
SC-20725,Technology,Phones,2015-09-26,1114.4
JO-15280,Furniture,Tables,2015-11-02,1038.84
TB-21520,Office Supplies,Paper,2015-09-26,141.76
TB-21520,Technology,Accessories,2015-09-26,239.8
TB-21520,Office Supplies,Paper,2015-09-26,31.104
AH-10195,Office Supplies,Binders,2016-12-18,254.058
AH-10195,Office Supplies,Appliances,2016-12-18,194.528
AH-10195,Office Supplies,Supplies,2016-12-18,961.48
NZ-18565,Office Supplies,Fasteners,2016-11-20,19.096
NZ-18565,Office Supplies,Labels,2016-11-20,18.496
NZ-18565,Technology,Accessories,2016-11-20,255.984
NZ-18565,Furniture,Bookcases,2016-11-20,86.97
KL-16555,Furniture,Furnishings,2014-12-26,300.416
KL-16555,Furniture,Chairs,2014-12-26,230.352
KL-16555,Furniture,Furnishings,2014-12-26,218.352
KL-16555,Office Supplies,Binders,2014-12-26,78.6
KL-16555,Office Supplies,Fasteners,2014-12-26,27.552
JD-15895,Office Supplies,Paper,2016-10-28,32.4
JD-15895,Office Supplies,Storage,2016-10-28,1082.48
JD-15895,Office Supplies,Paper,2016-10-28,56.91
JD-15895,Furniture,Furnishings,2016-10-28,77.6
JD-15895,Office Supplies,Binders,2016-10-28,14.28
JH-15910,Furniture,Tables,2017-11-19,219.075
AS-10225,Furniture,Furnishings,2015-05-04,26.8
KB-16600,Office Supplies,Art,2014-12-30,9.84
CR-12625,Office Supplies,Binders,2014-06-01,45.48
CR-12625,Office Supplies,Art,2014-06-01,289.2
SH-20395,Office Supplies,Art,2017-04-15,4.89
BP-11185,Furniture,Furnishings,2016-09-12,15.136
BP-11185,Furniture,Chairs,2016-09-12,466.768
BP-11185,Furniture,Furnishings,2016-09-12,15.232
BP-11185,Office Supplies,Labels,2016-09-12,6.264
TS-21205,Furniture,Furnishings,2014-09-27,87.54
AG-10525,Technology,Phones,2014-08-09,178.384
AG-10525,Office Supplies,Paper,2014-08-09,15.552
SP-20860,Office Supplies,Art,2014-12-28,99.136
NM-18445,Furniture,Chairs,2014-11-04,135.882
NM-18445,Technology,Machines,2014-11-04,3991.98
NM-18445,Technology,Phones,2014-11-04,275.94
NM-18445,Technology,Accessories,2014-11-04,360
NM-18445,Office Supplies,Storage,2014-11-04,43.57
FA-14230,Office Supplies,Fasteners,2014-09-19,7.16
GK-14620,Office Supplies,Binders,2016-04-23,251.52
GK-14620,Technology,Accessories,2016-04-23,99.99
DJ-13510,Furniture,Furnishings,2017-11-03,15.992
PO-18850,Technology,Phones,2016-08-30,290.898
PO-18850,Office Supplies,Storage,2016-08-30,54.224
PO-18850,Furniture,Chairs,2016-08-30,786.744
PO-18850,Office Supplies,Labels,2016-08-30,100.24
PO-18850,Office Supplies,Binders,2016-08-30,37.764
JL-15850,Technology,Phones,2016-04-25,82.8
JL-15850,Office Supplies,Binders,2016-04-25,20.724
JL-15850,Office Supplies,Binders,2016-04-25,4.896
DB-13615,Office Supplies,Binders,2015-09-01,4.752
DB-13615,Technology,Copiers,2015-09-01,959.984
DB-13615,Office Supplies,Binders,2015-09-01,14.368
AC-10420,Office Supplies,Binders,2014-07-12,7.712
AC-10420,Furniture,Tables,2014-07-12,698.352
KL-16645,Office Supplies,Fasteners,2015-06-22,4.96
JD-15895,Office Supplies,Art,2014-04-13,17.856
JD-15895,Office Supplies,Binders,2014-04-13,509.97
JD-15895,Office Supplies,Fasteners,2014-04-13,30.992
JD-15895,Technology,Phones,2014-04-13,71.928
CS-12130,Office Supplies,Storage,2015-12-20,88.8
CC-12550,Technology,Phones,2017-06-15,47.976
TD-20995,Office Supplies,Art,2017-07-08,7.56
TD-20995,Office Supplies,Paper,2017-07-08,24.56
TD-20995,Office Supplies,Art,2017-07-08,12.96
AB-10060,Technology,Accessories,2016-09-01,6.79
AB-10060,Office Supplies,Paper,2016-09-01,24.56
AB-10060,Office Supplies,Binders,2016-09-01,3.048
AB-10060,Office Supplies,Paper,2016-09-01,49.12
AB-10060,Office Supplies,Binders,2016-09-01,4355.168
JL-15505,Furniture,Bookcases,2016-04-08,388.704
JL-15505,Office Supplies,Envelopes,2016-04-08,8.26
JL-15505,Office Supplies,Art,2016-04-08,17.04
JL-15505,Office Supplies,Paper,2016-04-08,34.4
HK-14890,Office Supplies,Paper,2016-04-23,36.24
VB-21745,Office Supplies,Appliances,2017-03-08,647.84
VB-21745,Office Supplies,Labels,2017-03-08,20.7
KW-16435,Office Supplies,Labels,2017-09-25,20.7
KW-16435,Furniture,Chairs,2017-09-25,488.646
KW-16435,Office Supplies,Art,2017-09-25,5.56
KW-16435,Furniture,Furnishings,2017-09-25,47.12
JD-16060,Office Supplies,Storage,2014-09-24,211.96
MK-17905,Office Supplies,Binders,2016-10-21,23.2
MK-17905,Office Supplies,Supplies,2016-10-21,7.36
MK-17905,Office Supplies,Storage,2016-10-21,104.79
MK-17905,Furniture,Bookcases,2016-10-21,1043.92
GT-14755,Office Supplies,Paper,2017-05-29,25.92
GT-14755,Office Supplies,Storage,2017-05-29,53.424
AG-10900,Office Supplies,Binders,2014-07-23,8.16
AG-10900,Technology,Accessories,2014-07-23,1023.936
AG-10900,Office Supplies,Art,2014-07-23,9.24
AG-10900,Technology,Accessories,2014-07-23,479.04
MM-18280,Office Supplies,Paper,2016-09-28,99.136
AR-10405,Furniture,Tables,2017-08-27,1488.424
RA-19915,Office Supplies,Appliances,2015-04-28,8.652
RA-19915,Office Supplies,Storage,2015-04-28,23.832
RA-19915,Office Supplies,Binders,2015-04-28,12.176
AS-10285,Office Supplies,Paper,2016-10-28,50.96
AS-10285,Office Supplies,Binders,2016-10-28,49.536
LA-16780,Technology,Accessories,2015-06-26,41.9
DO-13435,Furniture,Tables,2015-11-27,375.4575
DO-13435,Technology,Accessories,2015-11-27,83.976
DK-13225,Technology,Machines,2015-12-03,482.34
DK-13225,Furniture,Furnishings,2015-12-03,2.96
NG-18430,Office Supplies,Art,2014-11-24,2.624
MV-18190,Office Supplies,Binders,2017-12-11,23.36
MV-18190,Technology,Accessories,2017-12-11,39.98
JG-15115,Technology,Phones,2014-09-21,246.384
JG-15115,Technology,Copiers,2014-09-21,1799.97
BP-11095,Office Supplies,Binders,2014-06-07,12.462
VP-21730,Office Supplies,Binders,2017-06-30,75.792
SS-20140,Office Supplies,Storage,2017-10-17,49.96
SS-20140,Office Supplies,Paper,2017-10-17,12.96
HP-14815,Office Supplies,Supplies,2015-10-31,70.12
AG-10675,Office Supplies,Storage,2016-09-08,35.952
AG-10675,Furniture,Bookcases,2016-09-08,2396.2656
AG-10675,Office Supplies,Storage,2016-09-08,131.136
AG-10675,Technology,Accessories,2016-09-08,57.584
LF-17185,Office Supplies,Paper,2014-12-24,9.568
SP-20650,Office Supplies,Art,2014-04-16,39.072
RF-19840,Office Supplies,Appliances,2017-12-24,35.91
KH-16510,Technology,Accessories,2017-12-08,179.95
KH-16510,Technology,Copiers,2017-12-08,1199.976
KH-16510,Office Supplies,Paper,2017-12-08,27.15
KH-16510,Furniture,Tables,2017-12-08,1004.024
KH-16510,Office Supplies,Paper,2017-12-08,9.68
KH-16510,Office Supplies,Labels,2017-12-08,28.35
KH-16510,Office Supplies,Paper,2017-12-08,55.98
KH-16510,Furniture,Bookcases,2017-12-08,1336.829
KH-16510,Furniture,Chairs,2017-12-08,113.568
KC-16675,Office Supplies,Paper,2017-11-03,139.86
KC-16675,Furniture,Chairs,2017-11-03,307.136
CJ-12010,Office Supplies,Art,2017-06-24,95.92
PB-19150,Furniture,Chairs,2016-04-14,383.8
VB-21745,Office Supplies,Paper,2017-11-06,5.78
SP-20860,Office Supplies,Art,2017-03-04,9.32
SP-20860,Office Supplies,Envelopes,2017-03-04,15.25
JE-15745,Technology,Accessories,2014-06-22,196.752
MP-17965,Furniture,Furnishings,2017-10-19,56.56
MP-17965,Office Supplies,Storage,2017-10-19,32.7
NF-18385,Furniture,Chairs,2017-08-21,866.4
JM-15265,Furniture,Furnishings,2017-11-23,28.4
JM-15265,Office Supplies,Binders,2017-11-23,287.92
SD-20485,Technology,Machines,2014-09-12,69.99
KH-16630,Office Supplies,Art,2017-10-01,6.672
RB-19795,Office Supplies,Binders,2016-04-15,189.588
RB-19795,Technology,Accessories,2016-04-15,408.744
RB-19795,Technology,Accessories,2016-04-15,291.96
RB-19795,Office Supplies,Storage,2016-04-15,4.768
DB-13060,Office Supplies,Storage,2016-06-06,714.3
MK-18160,Office Supplies,Binders,2014-12-19,4.812
MK-18160,Technology,Accessories,2014-12-19,247.8
PO-19180,Technology,Machines,2016-06-12,1007.979
PO-19180,Office Supplies,Paper,2016-06-12,313.488
BB-11545,Office Supplies,Paper,2017-09-15,31.872
CV-12805,Furniture,Chairs,2017-01-20,207.846
PK-19075,Furniture,Furnishings,2016-09-05,12.22
PK-19075,Office Supplies,Storage,2016-09-05,194.94
PK-19075,Office Supplies,Storage,2016-09-05,70.95
PK-19075,Office Supplies,Paper,2016-09-05,91.36
PK-19075,Furniture,Chairs,2016-09-05,242.94
PK-19075,Office Supplies,Labels,2016-09-05,22.05
TB-21595,Furniture,Furnishings,2017-03-20,2.91
RB-19360,Office Supplies,Art,2016-04-01,59.52
RB-19360,Office Supplies,Storage,2016-04-01,161.94
RB-19360,Office Supplies,Art,2016-04-01,263.88
RB-19360,Office Supplies,Art,2016-04-01,30.48
RB-19360,Office Supplies,Art,2016-04-01,9.84
RB-19360,Technology,Phones,2016-04-01,35.12
EB-13705,Furniture,Tables,2017-10-20,284.364
EB-13705,Office Supplies,Storage,2017-10-20,665.408
KH-16630,Technology,Accessories,2016-12-13,63.88
SC-20095,Furniture,Chairs,2014-02-12,129.568
NF-18385,Furniture,Chairs,2016-09-26,747.558
NF-18385,Office Supplies,Envelopes,2016-09-26,8.928
JH-15985,Office Supplies,Appliances,2015-12-15,103.92
JH-15985,Technology,Accessories,2015-12-15,899.91
JH-15985,Office Supplies,Binders,2015-12-15,51.312
TN-21040,Furniture,Furnishings,2016-04-22,23.56
TN-21040,Furniture,Tables,2016-04-22,1272.63
TN-21040,Office Supplies,Binders,2016-04-22,28.485
TN-21040,Office Supplies,Supplies,2016-04-22,185.376
TN-21040,Office Supplies,Appliances,2016-04-22,78.272
JS-15940,Furniture,Furnishings,2015-01-17,254.744
DS-13180,Furniture,Bookcases,2017-03-31,205.3328
CC-12670,Office Supplies,Binders,2016-12-16,4.788
MH-17785,Office Supplies,Paper,2015-12-20,55.48
JP-15520,Office Supplies,Storage,2014-11-09,340.92
JP-15520,Furniture,Bookcases,2014-11-09,222.666
JP-15520,Technology,Phones,2014-11-09,703.968
JP-15520,Office Supplies,Storage,2014-11-09,92.52
JP-15520,Office Supplies,Paper,2014-11-09,62.65
JP-15520,Office Supplies,Paper,2014-11-09,94.85
KH-16690,Technology,Phones,2016-07-12,95.76
JE-15475,Furniture,Furnishings,2016-10-27,40.2
JG-15805,Office Supplies,Art,2016-06-26,14.7
JG-15805,Office Supplies,Storage,2016-06-26,704.25
XP-21865,Technology,Accessories,2014-10-06,9.09
EM-14065,Office Supplies,Art,2014-07-22,5.96
EM-14065,Technology,Accessories,2014-07-22,159.98
MT-18070,Office Supplies,Labels,2017-06-10,29.6
MT-18070,Furniture,Bookcases,2017-06-10,514.165
MT-18070,Technology,Phones,2017-06-10,279.96
SA-20830,Technology,Phones,2014-10-29,2735.952
CW-11905,Technology,Phones,2014-06-09,7.992
CW-11905,Technology,Accessories,2014-06-09,63.984
CW-11905,Office Supplies,Art,2014-06-09,70.368
AJ-10960,Office Supplies,Storage,2014-09-14,449.15
AJ-10960,Office Supplies,Envelopes,2014-09-14,11.07
SS-20590,Technology,Accessories,2016-05-09,93.98
RO-19780,Furniture,Tables,2016-03-18,189.882
MD-17350,Office Supplies,Envelopes,2015-12-27,105.42
SC-20095,Office Supplies,Binders,2016-07-25,119.616
SC-20095,Furniture,Furnishings,2016-07-25,255.76
SC-20095,Furniture,Chairs,2016-07-25,241.568
SC-20095,Furniture,Furnishings,2016-07-25,69.3
MY-17380,Office Supplies,Binders,2016-05-30,22.62
MY-17380,Office Supplies,Binders,2016-05-30,14.952
MY-17380,Furniture,Chairs,2016-05-30,801.568
MY-17380,Office Supplies,Binders,2016-05-30,2.376
MY-17380,Office Supplies,Paper,2016-05-30,32.792
EB-13705,Office Supplies,Binders,2017-11-12,15.92
CM-12385,Office Supplies,Art,2015-03-16,2.74
